"BehaviorSpace results (NetLogo 6.1.1)"
"TP1_base.nlogo"
"experiment"
"11/06/2020 00:45:09:864 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","nnest","change_rate","nsugar","cats-smart-1?","N-cats","extra-hard?","mice-reproduce?","ntraps","ncheese","N-mice","mice-smart-1?","[step]","count cats","count mice"
"2","5","0.5","10","true","5","true","true","5","25","10","true","111","0","0"
"5","5","0.5","10","true","5","true","true","5","25","10","true","129","0","0"
"4","5","0.5","10","true","5","true","true","5","25","10","true","150","0","1"
"3","5","0.5","10","true","5","true","true","5","25","10","true","104","0","0"
"6","5","0.5","10","true","5","true","true","5","25","10","true","129","0","0"
"1","5","0.5","10","true","5","true","true","5","25","10","true","119","2","0"
"9","5","0.5","10","true","5","true","true","5","25","10","true","129","0","0"
"10","5","0.5","10","true","5","true","true","5","25","10","true","124","1","0"
"8","5","0.5","10","true","5","true","true","5","25","10","true","99","2","0"
"7","5","0.5","10","true","5","true","true","5","25","10","true","119","0","0"
